"GENOTYPE","Winter_2013.LAe","Spring_2012.LAe","Spring_2013.LAe","Winter_2013.WD.LAl","Winter_2013.WW.LAl","Spring_2012.WD.LAl","Spring_2012.WW.LAl","Spring_2013.WD.LAl","Spring_2013.WW.LAend","Spring_2013.WW.gs_max","Spring_2013.WD.gs_max","Winter_2013.WW.gs_max","Winter_2013.WD.gs_max","Spring_2012.WW.gs_max","Spring_2012.WD.gs_max","Spring_2013.WW.Trate","Spring_2013.WD.Trate","Winter_2013.WW.Trate","Winter_2013.WD.Trate","Spring_2012.WW.Trate","Spring_2012.WD.Trate","Spring_2013.WW.Biol","Spring_2013.WD.Biol","Winter_2013.WW.Biol","Winter_2013.WD.Biol","Spring_2012.WW.Biol","Spring_2012.WD.Biol","Spring_2013.WW.WU","Spring_2013.WD.WU","Winter_2013.WW.WU","Winter_2013.WD.WU","Spring_2012.WW.WU","Spring_2012.WD.WU","Spring_2013.WW.WUE","Spring_2013.WD.WUE","Winter_2013.WW.WUE","Winter_2013.WD.WUE","Spring_2012.WW.WUE","Spring_2012.WD.WUE","Winter_2013.Be","Spring_2013.Be","Spring_2012.Be"
"PHG50",0.110518822,0.082651798,0.10856462,0.289971955,0.406891172,0.279860324,0.317859495,0.3591995,0.401262062,49.64628054,30.62470377,35.80177794,41.86773825,64.18899206,44.94956156,12.03377916,8.277922102,9.410123267,10.04054475,14.79099463,12.41977925,276.7234194,235.0509543,350.5024838,202.9135278,260.1846535,164.9377836,4.63025198,3.471302378,3.273648972,1.889630615,3.342043565,2.360541467,49.48114973,46.99309439,83.04477271,69.6528235,69.01974299,54.15880539,75.11973545,66.35488924,44.20231595
"PHG71",0.102650209,0.087418554,0.111848866,0.317050297,0.357329982,0.267979118,0.339431641,0.391071504,0.401423404,41.85868632,32.50137777,39.07958692,50.08483818,53.48939089,44.41966557,11.02187933,8.416819069,9.304235037,10.42511414,14.57055365,12.2830813,264.1254791,259.2345369,319.9006619,227.1575235,283.5065121,207.4435855,4.403949121,3.754434999,2.830512526,2.186545766,3.709179789,2.768458723,45.62855482,49.57807923,86.88614868,69.4918618,64.03574898,53.39103769,73.8736433,67.8623554,54.07782066
"PHG80",0.103468795,0.072671575,0.102288667,0.306722264,0.376867621,0.215401481,0.300157284,0.370406588,0.342832307,46.61597078,27.97306149,41.52900633,52.01902034,60.96324342,41.26587521,11.50291927,7.506222361,9.33756499,9.872400062,14.63279071,12.35331917,251.4775917,251.2515247,315.1435065,212.0891576,284.8324797,174.518723,3.925428087,3.189451404,2.828101571,1.869642919,3.382842347,2.110536937,51.67973454,55.4276947,84.90902436,79.46065488,72.92699825,60.6042687,65.77832212,60.57679784,44.13422855
"PHG83",NA,0.072212652,0.106609389,NA,NA,0.133211741,0.294858739,0.324991771,0.385247758,52.9958958,25.17982418,59.63811299,NA,60.21702733,34.30939791,11.99522426,7.47619434,12.03608023,NA,13.44805947,10.08891668,275.1987743,204.1735958,296.0379978,NA,256.8564962,143.2819799,4.311769841,2.890599215,2.907893296,NA,3.194992077,1.094157339,54.99467347,47.03323445,77.69682334,NA,67.23933949,74.79358764,58.92091432,64.00305721,42.07054151
"PHG84",0.108431638,0.075548747,0.102329855,0.295628285,0.451094019,0.294386409,0.295729721,0.374564916,0.328547793,40.89929545,30.539976,35.09930208,43.19822767,62.76769708,59.39601022,10.305266,8.021986244,9.025333861,9.402131691,14.48961332,13.93997869,195.6060496,227.9489236,369.3632845,203.5237579,210.2450418,211.9814636,3.402802696,3.393409681,3.167867452,1.947828437,2.933325027,3.013001153,46.25307682,44.71199425,84.23982395,69.80422824,58.78398976,51.96529934,73.30925219,60.48016078,42.31273064
"PHG86",0.097170086,0.077140519,0.101653636,0.290613334,0.309497597,0.282557279,0.32044951,0.329439586,0.394426329,49.41214335,33.929426,35.13253771,51.55953613,66.23863145,46.56524135,11.59290463,7.970404533,8.653990225,10.96940213,15.35094574,12.91340903,272.9930724,208.797306,256.5270131,203.4336629,268.8978774,194.0302061,4.024604862,2.789297769,2.394593904,2.039109009,3.666313757,3.043673174,51.85463763,53.38071681,81.79255818,72.63570557,64.86874755,55.49469235,62.90242527,56.2746926,46.28557118
"PHH93",0.100805247,0.067703553,0.104634881,0.287592672,0.354196523,0.153145657,0.296342299,0.34747961,0.374547783,52.24496793,31.29448951,43.59318896,45.52623378,56.03078896,36.21080964,12.32262463,8.423366529,10.13075438,10.05929312,14.70943684,11.25542034,282.16904,225.6288056,307.5911001,232.0003199,251.6795639,153.80779,4.552878686,3.363343996,2.896962077,2.137030759,3.41330058,1.536641277,51.61123361,47.02551172,82.7779453,73.81604896,64.47468729,63.77920407,68.25728128,62.18816131,41.40294633
"PHJ40",0.101667189,0.082416152,0.107008415,0.282339396,0.383876253,0.25955591,0.34253451,0.361072417,0.369514435,40.79541784,25.73265887,38.77268157,34.46100206,48.62134368,52.77590849,10.56597063,7.609935987,9.185095662,7.8050649,13.20769724,12.1180035,257.8210443,245.153806,331.0255243,197.6303312,280.1523586,197.9607622,3.96555024,3.125506209,2.855599445,1.588027953,3.585962476,2.842380687,51.83051891,55.13605099,92.47641793,85.46587548,65.87373698,50.84495552,65.86249498,64.21014534,49.8305516
"PHK29",0.112829837,0.087969109,0.12003489,0.334867596,0.393961544,0.343915255,0.375457124,0.390617218,0.458994286,52.33206072,32.05912362,46.59612049,42.4859183,69.6104348,52.17315763,12.54662074,8.781677446,10.5950862,10.03134015,16.06686764,14.09297977,325.8602213,257.0257574,313.0950099,250.8123907,324.4833835,231.9573104,5.349262262,3.706378205,3.325717984,2.350166596,4.715765457,4.069266406,47.14770667,52.64716727,73.90725242,73.89476729,58.93650173,41.2914995,75.06303086,70.28376673,54.91002531
"PHK76",0.090544109,0.071171657,0.093479722,0.27204744,0.321450681,0.256571964,0.277827614,0.329642448,0.299202118,42.01096847,30.02326683,31.97571723,41.87720946,54.71115951,54.40451887,10.57489508,7.649601674,9.546611558,9.402430426,14.20203917,13.07775354,200.5875129,228.9896057,244.7163287,210.8332902,221.3480074,188.7660007,2.833825619,2.809986905,2.342102455,1.743808456,2.886370203,2.561673852,48.0515634,57.91956066,81.39006839,81.31093328,61.21549244,56.15762314,59.59110911,53.66229705,39.77516997
