"GENOTYPE","Bernburg.2014.OPT","Blois.2014.OPT","Blois.2014.WD","Campagnola.2012.WD","Campagnola.2012.OPT","Campagnola.2013.WD","Campagnola.2013.OPT","Craiova.2012.WD","Craiova.2012.OPT","Debrecen.2012.WD","Debrecen.2012.OPT","Debrecen.2013.WD","Gaillac.2012.OPT","Gaillac.2013.WD","Gaillac.2013.OPT","Graneros.2013.WD","Graneros.2013.OPT","Karlsruhe.2012.WD","Karlsruhe.2012.OPT","Karlsruhe.2013.WD","Karlsruhe.2013.OPT","Martonvasar.2013.WD","Martonvasar.2013.OPT","Murony.2013.WD","Murony.2013.OPT","Nerac.2012.WD","Nerac.2012.OPT","Nerac.2013.WD","Nerac.2013.OPT"
"N16",90.08,87.41,NA,27.8211172,42.39011465,34.55263014,38.02136172,31.27020804,46.66512175,55.09667097,54.45714734,55.69443321,101.1274621,73.00512041,105.5275846,58.52465167,115.499323,86.83667232,80.60767188,100.4849106,61.82689008,57.60942787,89.81697398,63.67908438,65.71716014,41.36936623,93.08473025,38.92924103,85.8606927
"N192",93.91,100.13,94.92,11.15756302,43.0129315,40.26649795,55.59574034,13.14596969,39.29365414,56.36942644,66.83661728,58.88448785,112.4258038,79.50128942,108.987257,59.40985044,74.13010207,100.3638061,104.0895923,95.99165073,63.63552125,81.11926165,121.0149195,71.24484987,83.16965918,39.67634046,90.08244058,30.21583377,94.03221482
"N22",89.98,91.47,88.65,14.23989482,33.73223575,28.8679488,39.58274467,16.2394651,34.59901865,44.90744035,62.46754496,57.53000156,116.1959152,76.71576314,88.5523456,48.04838907,82.04390298,101.6494771,67.50082871,107.6019723,76.9713077,66.52923049,69.76890404,50.12529356,74.47271886,32.61516753,63.89021681,31.12783976,77.69517792
"N25",83.91,58.61,67.78,7.32223191,14.7435816,21.95163629,31.22001502,8.01820338,25.43290656,39.12189151,59.49749759,62.18628922,99.87701416,65.21113048,99.27386321,44.71051834,71.60474318,101.8065345,78.84184237,90.20486399,58.31033495,53.45185226,85.41029851,55.3601353,61.67133073,31.09495059,71.46523054,28.13788131,73.75707209
"N6",79.14,89.24,81.69,16.35109255,43.33441298,28.21722357,39.66448377,14.4760192,48.70361939,49.51967711,55.46774374,60.53693555,107.2850093,69.79166053,99.30628999,52.58972104,94.2058281,79.46786711,80.21868364,80.41922616,60.40057619,65.52693881,105.1448679,58.3583792,60.38813839,38.44390631,80.12795064,39.09585695,92.29081077
"NC290",100.52,90.11,83.07,14.85683498,36.01260264,35.0105299,48.58876419,12.35008424,35.67221359,59.35569043,65.89768884,66.17053128,97.53287846,80.32154878,106.1062332,58.17799614,97.86943051,111.3665918,112.5956441,124.9237189,99.69947292,92.00875085,90.76895589,69.00933403,83.23035147,35.61955283,86.46067581,30.73940485,79.28920927
"NC358",76.19,91.81,96.68,21.10881261,28.74444675,35.32752538,53.77337069,20.44154337,57.24042031,52.23721385,59.67098694,65.67327039,82.4285279,78.63907869,106.3781256,73.05215806,98.4753931,113.8571101,95.61736948,102.950131,91.83173229,64.19354008,104.1881097,80.88129415,93.18533825,31.8520891,79.95526653,39.20389648,93.84784263
"NDB8",92.61,86.75,73.92,9.61400903,27.546639,34.43617862,41.0011663,11.20867899,33.2390036,45.70109241,56.82632977,45.8765118,93.02998486,57.08298271,79.51387759,51.77548372,71.50910671,79.11365784,79.63647477,79.89843624,59.52036535,60.21600682,100.9589332,43.74367244,42.58431082,34.89587968,73.13022201,22.58155576,51.17455012
"NK764",94.77,97.36,87.35,8.93862699,33.92029733,29.25603295,50.09451181,10.98702369,36.17462368,55.82231709,62.26909783,56.56178701,109.9526383,82.35206472,108.0898792,70.29751665,90.62481761,106.2914446,95.11695564,92.82437053,74.99357478,65.72113962,109.6568361,56.94506238,66.28231821,54.29218078,87.52323478,41.52253865,78.87866353
"NK807",86.73,90.79,86.29,18.46336819,39.92966243,34.58343967,57.94575893,13.8107903,29.4624335,54.85953135,64.24220816,56.48683193,107.9360407,71.45911401,98.92440845,61.17539015,97.47421247,88.18139175,91.91400807,82.42822927,81.39879217,80.32109208,99.12125474,55.40136812,67.50836931,47.1044851,84.53202708,32.45285523,89.70752466
"NQ508",90.92,97.63,106.36,12.10540627,39.6335787,32.8940443,63.26245425,14.31500642,43.09598165,49.70983584,66.14822353,66.62481226,116.8660134,82.29875116,103.4239177,86.83520808,110.3832569,112.3586665,112.0890922,111.4898271,97.65730485,93.15544039,119.6233072,77.38327459,82.3834487,49.04041907,101.3011441,44.07419477,86.93585344
"NS701",106.76,101.38,100.57,8.58764545,36.95705018,45.92992498,66.07652,16.48259746,53.23824859,71.40438084,82.83728774,66.8452445,125.5508827,93.72528061,118.5919915,64.59453868,123.7748848,120.6847097,99.74163497,117.5799126,104.8452349,73.84863988,120.7282201,85.857648,80.75272689,56.0175324,104.6838936,37.81471385,94.3178754
"OH02",NA,83.85,84.47,21.76513634,32.20708949,34.65579851,54.48062594,15.1428291,39.74391368,53.98695121,56.61669443,64.37787813,130.3878531,79.16041734,114.6792556,68.57151103,119.4933738,99.0905109,86.78610192,111.4115724,101.3250017,79.23581429,83.08177897,62.66639093,49.60841397,60.02423895,91.82827267,53.33934143,79.48741855
"OH33",79.78,84.23,78.79,12.29172569,18.31464055,31.76842055,41.82894713,13.11526825,21.98213881,45.35561366,55.74190261,54.97039434,112.154045,61.88685336,102.7871244,48.69304341,92.43528027,85.36068725,72.28175559,77.12597606,89.90781746,60.58468758,72.85348315,54.07488028,55.89029117,29.9893023,80.61433605,26.76707832,79.81542276
"OH40B",79.37,91.69,88.44,6.56924656,16.60648312,42.12254257,47.15730362,1.88445671,16.10970244,64.71774837,63.62070454,63.37279277,124.296947,75.92050866,115.5421944,69.9886298,92.58462101,97.40836577,104.3118969,105.5701241,55.79736895,65.11957613,107.1308609,65.43981034,61.55463214,39.15573572,85.00830413,32.4908479,69.9441805
"OH43",97.77,89.88,83.82,17.25807945,25.69434345,36.45748906,45.98653494,18.15350527,30.91856825,62.73348112,82.49994623,62.28987222,118.5584288,91.07100387,103.2657251,65.86172055,90.96877699,100.8965847,97.77216536,106.3671886,78.30234461,82.61974479,102.3575179,74.38615741,64.95931566,43.99043586,88.74080945,40.74285107,68.25964777
"OS426",67.36,84.24,66.94,21.0305269,38.41805008,34.84701839,57.19210013,27.64259075,37.05124715,39.9326813,56.02344301,55.81059321,111.3362733,70.48901675,94.47749988,59.50765711,89.33594355,81.53514395,71.45110884,84.90323181,54.56683319,69.35459959,100.0093209,48.17068253,60.04946515,46.29251198,95.61147895,49.94122546,81.8627661
"P465P",69.03,83.79,70.65,7.99817876,34.05397575,38.19238368,49.00760158,7.81817772,44.48202408,54.53981943,58.60904153,64.85322422,99.76527396,73.37900008,89.95219814,66.31935388,104.2710444,101.0540427,107.8724737,81.96078136,74.17961255,77.16626639,93.51152901,75.57492924,79.8442446,50.28587862,81.42835703,48.63899547,71.58365729
"PA36",65.45,80.01,61.59,8.94840444,28.64034482,25.01276436,46.59284999,5.13559288,26.40852183,45.3531008,51.18979523,28.39914293,74.93547053,58.52243359,66.0570025,56.62165585,73.49700547,74.65728623,68.50425203,56.37066934,47.18873966,61.13697291,60.30262437,20.90374166,36.52230835,24.14422906,65.31801877,25.59427274,57.85554248
